epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.85913,5.7927,3.78955,2.85106,0,0,0,0,6.82193,4.15943,2.86622,0,0,0
2,6.58289,5.79532,3.84317,2.79627,0,0,0,0,6.87143,4.05725,2.98006,1.99802e-05,1.99802e-05,1.99802e-05
3,9.69423,5.93964,3.68172,2.64546,0,0,0,0,6.9375,3.92056,3.19701,3.99208e-05,3.99208e-05,3.99208e-05
4,12.7172,5.66215,3.62905,2.69312,0,0,0,0,7.00644,3.95102,3.27425,5.98218e-05,5.98218e-05,5.98218e-05
5,15.6563,5.28337,3.3223,2.28939,0,0,0,0,5.13442,3.49934,3.1435,7.96832e-05,7.96832e-05,7.96832e-05
6,18.4047,4.90326,3.14412,2.17674,0,0,0,0,1.87492,2.72309,1.56741,9.9505e-05,9.9505e-05,9.9505e-05
7,21.23,4.76926,2.86672,1.97821,0,0,0,0,0.43384,3.47387,0.57583,0.000119287,0.000119287,0.000119287
8,24.0262,4.43377,2.42826,1.78104,0,0,0,0,0.09272,2.75698,0.17923,0.00013903,0.00013903,0.00013903
9,26.6078,4.21196,2.47303,1.79784,0,0,0,0,0.00751,2.56107,0.0226,0.000158733,0.000158733,0.000158733
10,29.1567,4.16553,2.16283,1.68215,0,0,0,0,0.00075,1.73429,0.005,0.000178396,0.000178396,0.000178396
11,32.0995,3.98639,2.03905,1.69662,0,0,0,0,8e-05,1.41016,0.00069,0.00019802,0.00019802,0.00019802
12,35.165,4.03307,1.85142,1.56302,0,0,0,0,3e-05,0.28021,0.00025,0.000217604,0.000217604,0.000217604
13,38.2088,3.82895,1.65292,1.49441,0,0,0,0,4.61399,2.77669,1.12106,0.000237149,0.000237149,0.000237149
14,41.0137,3.93228,1.58313,1.46008,0.01493,0.0229,0.00818,0.00082,4.97748,2.04938,1.16428,0.000256654,0.000256654,0.000256654
15,44.104,3.28271,1.56204,1.44879,0.02575,0.0458,0.01409,0.00252,4.72703,1.978,1.15186,0.000276119,0.000276119,0.000276119
16,46.6115,3.65958,1.43613,1.40462,0.01145,0.0229,0.00587,0.00098,5.193,2.03933,1.16873,0.000295545,0.000295545,0.000295545
17,49.1554,2.9258,1.41135,1.47615,0.01145,0.0229,0.00587,0.00098,6.5169,2.86451,1.36263,0.000314931,0.000314931,0.000314931
18,51.4592,2.96628,1.32939,1.42124,0.01145,0.0229,0.00587,0.00098,6.5169,2.86451,1.36263,0.000334278,0.000334278,0.000334278
19,53.9834,3.1158,1.3978,1.46592,0.01145,0.0229,0.00587,0.00098,0.3326,510.238,0.08983,0.000353585,0.000353585,0.000353585
20,56.3331,3.18488,1.27039,1.44705,0.01145,0.0229,0.00587,0.00098,0.3326,510.238,0.08983,0.000372852,0.000372852,0.000372852
21,59.5722,3.41164,1.24278,1.34301,0.01145,0.0229,0.00587,0.00098,0.31586,1021.75,0.07347,0.00039208,0.00039208,0.00039208
22,62.2942,2.71403,1.35197,1.37108,0.01145,0.0229,0.00587,0.00098,0.31586,1021.75,0.07347,0.000411268,0.000411268,0.000411268
23,65.5062,3.19992,1.33187,1.30968,0.02447,0.0229,0.00762,0.00176,5.70061,221.774,1.61009,0.000430417,0.000430417,0.000430417
24,68.1874,2.92549,1.25837,1.29844,0.02447,0.0229,0.00762,0.00176,5.70061,221.774,1.61009,0.000449526,0.000449526,0.000449526
25,70.8117,3.30304,1.20277,1.29112,0.06452,0.07634,0.03696,0.00883,4.6795,25.4565,1.41665,0.000468595,0.000468595,0.000468595
26,73.2643,2.36582,1.20197,1.44391,0.06452,0.07634,0.03696,0.00883,4.6795,25.4565,1.41665,0.000487625,0.000487625,0.000487625
27,76.2185,2.97653,1.1199,1.29334,0.06452,0.07634,0.03696,0.00883,0,1.70821,0,0.000506615,0.000506615,0.000506615
28,78.6721,2.65424,1.12915,1.26217,0.06452,0.07634,0.03696,0.00883,0,1.70821,0,0.000525566,0.000525566,0.000525566
29,81.5071,3.10386,1.18797,1.31026,0.06452,0.07634,0.03696,0.00883,0.01955,70.2581,0.04669,0.000544477,0.000544477,0.000544477
30,84.0964,2.58364,1.13986,1.25927,0.06452,0.07634,0.03696,0.00883,0.01955,70.2581,0.04669,0.000563348,0.000563348,0.000563348
31,87.0659,2.51518,1.26812,1.2971,0.25392,0.19084,0.12243,0.03262,3.43631,2.79975,1.5743,0.00058218,0.00058218,0.00058218
